cluster_id,province,regency,mean_aai,max_aai,mean_co_mol_m2,max_co_mol_m2,smoke_severity,plume_heading_deg
327,East Kalimantan,Berau,1.2939946263387967,2.550507307056744,0.038307569392656206,0.04409237731044271,Dense,315.0
318,West Kalimantan,Landak,1.019019727433464,1.138124108316358,0.05287567451031636,0.05669580859993978,Moderate,315.0
299,West Kalimantan,Sekadau,0.8576885525233373,1.0910505439002374,0.045391120584053486,0.04875305536951023,Moderate,315.0
256,North Kalimantan,Bulungan,0.23129698233942733,0.4231716692454518,0.02924103974420116,0.033665103156464087,Low,315.0
243,West Kalimantan,Sanggau,1.3460678766463525,1.381285429001988,0.052913401320478046,0.0621485225855931,Moderate,315.0
298,West Kalimantan,Kapuas Hulu,-0.10223075414675879,0.2882529497151276,0.03938018089256549,0.04173685246123883,Low,315.0
317,North Kalimantan,Malinau,-0.10655112396251294,0.45417681336476473,0.025317270171699508,0.03174290590180271,Low,315.0
58,West Kalimantan,Ketapang,1.0043607679134043,1.0958774089830987,0.04200475870320762,0.049913627024273134,Moderate,315.0
314,East Kalimantan,Kutai Timur,-0.13095551613575848,0.19997802376775975,0.026859009815794418,0.030292837880509415,Low,315.0
16,Central Kalimantan,Kotawaringin Timur,0.20850552677072168,0.9612932205208085,0.03042132452535649,0.03445294610981394,Low,315.0
