cluster_id,n_detections,centroid_lat,centroid_lon,lat_min,lat_max,lon_min,lon_max,avg_confidence,max_frp,avg_frp,first_date,last_date,province,regency,extent_lat_km,extent_lon_km
55,220,2.2676789346071287,117.89858530122406,2.203265097186522,2.2943213071528246,117.85204979473708,117.97153697949706,1.040909090909091,28.520000457763672,6.597590984539552,2026-08-13,2026-08-14,East Kalimantan,Berau,10.119076613555206,13.268212028104392
271,108,-2.9981803782959817,112.86595807727089,-3.037525654207347,-2.9633317053459156,112.84771171414317,112.88459283599855,1.0,26.530000686645508,6.625000087751283,2026-08-13,2026-08-13,Central Kalimantan,Kotawaringin Timur,8.245173536970869,4.092988894445597
218,77,-2.2552481331837138,113.8170004433991,-2.298958617814003,-2.2180197645106223,113.79406480073455,113.8406471565406,1.0,5.96999979019165,2.1236363308770314,2026-08-13,2026-08-13,Central Kalimantan,Kota Palangka Raya,8.994734767604683,5.172687517226842
61,72,2.5906287064567497,115.78975581970377,2.5607450326097845,2.6113318159243972,115.76668554478083,115.81518951082167,1.2916666666666667,23.8799991607666,14.416388538148668,2026-08-13,2026-08-14,North Kalimantan,Malinau,5.6217092297529145,5.384736785576315
39,68,2.2218631792874826,117.24370097521124,2.179657931639703,2.263969237164057,117.23050706330557,117.26318518873705,1.0,7.619999885559082,4.362941207254634,2026-08-13,2026-08-14,East Kalimantan,Berau,9.369515382921492,3.628789885954039
206,60,-1.3732204831565913,114.29378498197553,-1.401886327034872,-1.3580444481622076,114.26096577027437,114.32859644374561,1.0,1.4500000476837158,0.8191666781902314,2026-08-13,2026-08-13,Central Kalimantan,Kapuas,4.872147999119199,7.513638205735317
15,57,3.002358776072087,116.49275574354805,2.975556655789608,3.022770986883246,116.4798088570178,116.50380979866186,1.0,20.329999923706055,14.661578830919767,2026-08-13,2026-08-14,North Kalimantan,Malinau,5.246928614436007,2.663563557199481
175,57,-0.4294367708255465,116.07797225162828,-0.45085480072015444,-0.41375782628943847,116.05895288999557,116.09625631764364,1.0,9.399999618530273,3.707017446819105,2026-08-13,2026-08-13,East Kalimantan,Kutai Barat,4.122586768485466,4.145413474792715
36,56,2.324432487697237,117.11184278369286,2.3111835682576958,2.341535638246463,117.10206596332691,117.12427476265344,1.0,11.779999732971191,5.762857134853091,2026-08-13,2026-08-14,East Kalimantan,Berau,3.3730255378517193,2.466033123929359
48,55,1.94671345914005,117.28537231984511,1.9233515628456652,1.9671934417183297,117.2643028888716,117.3081704442957,1.0,6.21999979019165,2.279636322368275,2026-08-13,2026-08-14,East Kalimantan,Berau,4.872147999119199,4.87218783806855
