latitude,longitude,confidence,frp,acq_date,satellite,province,regency
3.592715412227882,116.5715329712825,1,1.8300000429153442,2026-08-17,SNPP,North Kalimantan,Malinau
3.592715412227882,116.57491206442322,1,1.8300000429153442,2026-08-17,SNPP,North Kalimantan,Malinau
3.592715412227882,116.57829115756395,1,1.8300000429153442,2026-08-17,SNPP,North Kalimantan,Malinau
3.589342960006908,116.57110236499491,1,1.8300000429153442,2026-08-17,SNPP,North Kalimantan,Malinau
3.589342960006908,116.5744814456535,1,1.8300000429153442,2026-08-17,SNPP,North Kalimantan,Malinau
3.589342960006908,116.57786052631215,1,1.8300000429153442,2026-08-17,SNPP,North Kalimantan,Malinau
3.5691082466810626,116.52122119074392,1,7.170000076293945,2026-08-17,SNPP,North Kalimantan,Malinau
3.5691082466810626,116.52460019675766,1,7.170000076293945,2026-08-17,SNPP,North Kalimantan,Malinau
3.565735794460089,116.52079360720217,1,7.170000076293945,2026-08-17,SNPP,North Kalimantan,Malinau
3.565735794460089,116.52417260081639,1,7.170000076293945,2026-08-17,SNPP,North Kalimantan,Malinau
3.5623633422391148,116.52036643048719,1,7.170000076293945,2026-08-17,SNPP,North Kalimantan,Malinau
3.5623633422391148,116.52374541171369,1,7.170000076293945,2026-08-17,SNPP,North Kalimantan,Malinau
4.250343595317847,117.06571825050032,1,3.190000057220459,2026-08-17,SNPP,North Kalimantan,Nunukan
4.250343595317847,117.06910000341881,1,3.190000057220459,2026-08-17,SNPP,North Kalimantan,Nunukan
4.250343595317847,117.07248175633737,1,3.190000057220459,2026-08-17,SNPP,North Kalimantan,Nunukan
4.246971143096872,117.06520635881864,1,3.190000057220459,2026-08-17,SNPP,North Kalimantan,Nunukan
4.246971143096872,117.06858809694981,1,3.190000057220459,2026-08-17,SNPP,North Kalimantan,Nunukan
4.246971143096872,117.07196983508099,1,3.190000057220459,2026-08-17,SNPP,North Kalimantan,Nunukan
3.9839198698608866,117.23613999414702,1,45.18000030517578,2026-08-17,SNPP,North Kalimantan,Nunukan
3.9839198698608866,117.2395206153409,1,45.18000030517578,2026-08-17,SNPP,North Kalimantan,Nunukan
3.9839198698608866,117.24290123653478,1,45.18000030517578,2026-08-17,SNPP,North Kalimantan,Nunukan
3.9839198698608866,117.28684931205518,1,5.739999771118164,2026-08-17,SNPP,North Kalimantan,Nunukan
3.9839198698608866,117.29022993324904,1,5.739999771118164,2026-08-17,SNPP,North Kalimantan,Nunukan
3.9839198698608866,117.29361055444292,1,5.739999771118164,2026-08-17,SNPP,North Kalimantan,Nunukan
3.9839198698608866,117.2969911756368,1,5.739999771118164,2026-08-17,SNPP,North Kalimantan,Nunukan
3.980547417639912,117.23565961073682,1,45.18000030517578,2026-08-17,SNPP,North Kalimantan,Nunukan
3.980547417639912,117.23904021807834,1,45.18000030517578,2026-08-17,SNPP,North Kalimantan,Nunukan
3.980547417639912,117.2424208254199,1,45.18000030517578,2026-08-17,SNPP,North Kalimantan,Nunukan
3.980547417639912,117.28636872085997,1,5.739999771118164,2026-08-17,SNPP,North Kalimantan,Nunukan
3.980547417639912,117.2897493282015,1,5.739999771118164,2026-08-17,SNPP,North Kalimantan,Nunukan
3.980547417639912,117.29312993554305,1,5.739999771118164,2026-08-17,SNPP,North Kalimantan,Nunukan
3.980547417639912,117.2965105428846,1,5.739999771118164,2026-08-17,SNPP,North Kalimantan,Nunukan
3.977174965418938,117.28588853994394,1,5.739999771118164,2026-08-17,SNPP,North Kalimantan,Nunukan
3.977174965418938,117.28926913344498,1,5.739999771118164,2026-08-17,SNPP,North Kalimantan,Nunukan
3.977174965418938,117.292649726946,1,5.739999771118164,2026-08-17,SNPP,North Kalimantan,Nunukan
3.977174965418938,117.29603032044704,1,5.739999771118164,2026-08-17,SNPP,North Kalimantan,Nunukan
3.9400779909882226,116.94935030639388,1,1.8700000047683716,2026-08-17,SNPP,North Kalimantan,Nunukan
3.9400779909882226,116.95273074842974,1,1.8700000047683716,2026-08-17,SNPP,North Kalimantan,Nunukan
3.9400779909882226,116.95611119046558,1,1.8700000047683716,2026-08-17,SNPP,North Kalimantan,Nunukan
3.9367055387672485,116.94887639064252,1,1.8700000047683716,2026-08-17,SNPP,North Kalimantan,Nunukan
3.9367055387672485,116.95225681897976,1,1.8700000047683716,2026-08-17,SNPP,North Kalimantan,Nunukan
3.9367055387672485,116.95563724731699,1,1.8700000047683716,2026-08-17,SNPP,North Kalimantan,Nunukan
3.9333330865462734,116.9484028839036,1,1.8700000047683716,2026-08-17,SNPP,North Kalimantan,Nunukan
3.9333330865462734,116.95178329855405,1,1.8700000047683716,2026-08-17,SNPP,North Kalimantan,Nunukan
3.9333330865462734,116.95516371320446,1,1.8700000047683716,2026-08-17,SNPP,North Kalimantan,Nunukan
3.90635346877848,116.88716435856186,1,1.7999999523162842,2026-08-17,SNPP,North Kalimantan,Nunukan
3.90635346877848,116.8905446641435,1,1.7999999523162842,2026-08-17,SNPP,North Kalimantan,Nunukan
3.90635346877848,116.89392496972512,1,1.7999999523162842,2026-08-17,SNPP,North Kalimantan,Nunukan
