latitude,longitude,confidence,frp,acq_date,satellite,province,regency
2.972184203568634,117.19818503140915,1,19.6299991607666,2026-08-19,SNPP,North Kalimantan,Bulungan
2.972184203568634,117.20156202627928,1,19.6299991607666,2026-08-19,SNPP,North Kalimantan,Bulungan
2.972184203568634,117.20493902114939,1,16.75,2026-08-19,SNPP,North Kalimantan,Bulungan
2.9688117513476597,117.19782706738437,1,19.6299991607666,2026-08-19,SNPP,North Kalimantan,Bulungan
2.9688117513476597,117.20120405193997,1,19.6299991607666,2026-08-19,SNPP,North Kalimantan,Bulungan
2.9688117513476597,117.20458103649555,1,16.75,2026-08-19,SNPP,North Kalimantan,Bulungan
2.9654392991266856,117.19746951158106,1,18.420000076293945,2026-08-19,SNPP,North Kalimantan,Bulungan
2.9654392991266856,117.20084648583388,1,18.420000076293945,2026-08-19,SNPP,North Kalimantan,Bulungan
2.9654392991266856,117.20422346008672,1,18.420000076293945,2026-08-19,SNPP,North Kalimantan,Bulungan
2.962066846905711,117.197112363993,1,18.420000076293945,2026-08-19,SNPP,North Kalimantan,Bulungan
2.962066846905711,117.20048932795484,1,18.420000076293945,2026-08-19,SNPP,North Kalimantan,Bulungan
2.962066846905711,117.20386629191668,1,18.420000076293945,2026-08-19,SNPP,North Kalimantan,Bulungan
2.9586943946847373,117.196755624614,1,18.420000076293945,2026-08-19,SNPP,North Kalimantan,Bulungan
2.9586943946847373,117.20013257829662,1,18.420000076293945,2026-08-19,SNPP,North Kalimantan,Bulungan
2.9586943946847373,117.20350953197924,1,18.420000076293945,2026-08-19,SNPP,North Kalimantan,Bulungan
2.955321942463763,117.24029955783466,1,9.960000038146973,2026-08-19,SNPP,North Kalimantan,Bulungan
2.955321942463763,117.24367650124978,1,9.960000038146973,2026-08-19,SNPP,North Kalimantan,Bulungan
2.955321942463763,117.24705344466491,1,9.960000038146973,2026-08-19,SNPP,North Kalimantan,Bulungan
2.9519494902427885,117.23994350153102,1,9.960000038146973,2026-08-19,SNPP,North Kalimantan,Bulungan
2.9519494902427885,117.24332043469046,1,9.960000038146973,2026-08-19,SNPP,North Kalimantan,Bulungan
2.9519494902427885,117.24669736784988,1,9.960000038146973,2026-08-19,SNPP,North Kalimantan,Bulungan
2.9519494902427885,117.25007430100932,1,5.130000114440918,2026-08-19,SNPP,North Kalimantan,Bulungan
2.9485770380218144,117.23958785357078,1,9.960000038146973,2026-08-19,SNPP,North Kalimantan,Bulungan
2.9485770380218144,117.24296477648628,1,9.960000038146973,2026-08-19,SNPP,North Kalimantan,Bulungan
2.9485770380218144,117.24634169940175,1,9.960000038146973,2026-08-19,SNPP,North Kalimantan,Bulungan
2.9485770380218144,117.24971862231725,1,5.130000114440918,2026-08-19,SNPP,North Kalimantan,Bulungan
2.9452045858008407,117.23923261394776,1,5.130000114440918,2026-08-19,SNPP,North Kalimantan,Bulungan
2.9452045858008407,117.24260952663107,1,5.130000114440918,2026-08-19,SNPP,North Kalimantan,Bulungan
2.9452045858008407,117.24598643931436,1,5.130000114440918,2026-08-19,SNPP,North Kalimantan,Bulungan
2.9452045858008407,117.24936335199767,1,5.130000114440918,2026-08-19,SNPP,North Kalimantan,Bulungan
2.86426573249746,116.95394235582027,1,3.9000000953674316,2026-08-19,SNPP,North Kalimantan,Bulungan
2.86426573249746,116.95731902645922,1,3.9000000953674316,2026-08-19,SNPP,North Kalimantan,Bulungan
2.86426573249746,116.96069569709815,1,3.9000000953674316,2026-08-19,SNPP,North Kalimantan,Bulungan
2.860893280276486,116.9535981375721,1,3.9000000953674316,2026-08-19,SNPP,North Kalimantan,Bulungan
2.860893280276486,116.95697479827284,1,3.9000000953674316,2026-08-19,SNPP,North Kalimantan,Bulungan
2.860893280276486,116.96035145897358,1,3.9000000953674316,2026-08-19,SNPP,North Kalimantan,Bulungan
2.857520828055512,116.95325432653887,1,3.9000000953674316,2026-08-19,SNPP,North Kalimantan,Bulungan
2.857520828055512,116.95663097731317,1,3.9000000953674316,2026-08-19,SNPP,North Kalimantan,Bulungan
2.857520828055512,116.96000762808747,1,3.9000000953674316,2026-08-19,SNPP,North Kalimantan,Bulungan
2.8541483758345376,116.9529109227146,1,3.9000000953674316,2026-08-19,SNPP,North Kalimantan,Bulungan
2.8541483758345376,116.95628756357422,1,3.9000000953674316,2026-08-19,SNPP,North Kalimantan,Bulungan
2.8541483758345376,116.95966420443384,1,3.9000000953674316,2026-08-19,SNPP,North Kalimantan,Bulungan
2.806934044740899,116.94814602278893,1,7.570000171661377,2026-08-19,SNPP,North Kalimantan,Bulungan
2.806934044740899,116.95152252607733,1,16.299999237060547,2026-08-19,SNPP,North Kalimantan,Bulungan
2.806934044740899,116.95489902936569,1,16.299999237060547,2026-08-19,SNPP,North Kalimantan,Bulungan
2.806934044740899,116.95827553265408,1,16.299999237060547,2026-08-19,SNPP,North Kalimantan,Bulungan
2.806934044740899,117.30267886806969,2,8.079999923706055,2026-08-19,SNPP,North Kalimantan,Bulungan
2.806934044740899,117.30605537135808,2,8.079999923706055,2026-08-19,SNPP,North Kalimantan,Bulungan
2.806934044740899,117.30943187464645,2,8.079999923706055,2026-08-19,SNPP,North Kalimantan,Bulungan
2.803561592519925,116.94780872638728,1,7.570000171661377,2026-08-19,SNPP,North Kalimantan,Bulungan
2.803561592519925,116.95118521993732,1,16.299999237060547,2026-08-19,SNPP,North Kalimantan,Bulungan
2.803561592519925,116.95456171348734,1,16.299999237060547,2026-08-19,SNPP,North Kalimantan,Bulungan
2.803561592519925,116.95793820703739,1,16.299999237060547,2026-08-19,SNPP,North Kalimantan,Bulungan
2.803561592519925,117.30234054914091,2,8.079999923706055,2026-08-19,SNPP,North Kalimantan,Bulungan
2.803561592519925,117.30571704269094,2,8.079999923706055,2026-08-19,SNPP,North Kalimantan,Bulungan
2.803561592519925,117.30909353624097,2,8.079999923706055,2026-08-19,SNPP,North Kalimantan,Bulungan
2.800189140298951,116.94747183709998,1,7.570000171661377,2026-08-19,SNPP,North Kalimantan,Bulungan
2.800189140298951,116.95084832092344,1,16.299999237060547,2026-08-19,SNPP,North Kalimantan,Bulungan
2.800189140298951,116.95422480474686,1,16.299999237060547,2026-08-19,SNPP,North Kalimantan,Bulungan
2.800189140298951,116.9576012885703,1,16.299999237060547,2026-08-19,SNPP,North Kalimantan,Bulungan
2.800189140298951,117.30200263856067,2,8.079999923706055,2026-08-19,SNPP,North Kalimantan,Bulungan
2.800189140298951,117.30537912238411,2,8.079999923706055,2026-08-19,SNPP,North Kalimantan,Bulungan
2.800189140298951,117.30875560620753,2,8.079999923706055,2026-08-19,SNPP,North Kalimantan,Bulungan
2.7968166880779766,116.9471353549212,1,7.570000171661377,2026-08-19,SNPP,North Kalimantan,Bulungan
2.7968166880779766,116.95051182902981,1,7.570000171661377,2026-08-19,SNPP,North Kalimantan,Bulungan
